Exercici_OF	Clase_OF	Series_OF	Num_doc_of	Codi_Producte	Descripcio	Tipus embalatge (Peça 00 moble es 01)	Codi_personal	Nom_personal	Largo	Ancho	Grueso	MP1	MP1_Descripcio	Ubicacio 1	Ubicacio 2	Ubicacio 3	Quantitat
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	207	1	4
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	208	1	8
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	226	1	8
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	227	1	2
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	307	1	4
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	308	1	8
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	326	1	8
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	327	1	2
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	407	1	6
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	408	1	8
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	426	1	8
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	427	1	2
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	507	1	6
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	508	1	8
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	526	1	8
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	527	1	2
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	607	1	6
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	608	1	8
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	626	1	8
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	627	1	2
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	707	1	6
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	708	1	8
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	726	1	8
2024	OF	OF	140120	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	727	1	2
2024	OF	OF	140216	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	10	1107	1	2
2024	OF	OF	140216	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	12	118	1	6
2024	OF	OF	140216	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	1	150	1	6
2024	OF	OF	140216	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	251	1	6
2024	OF	OF	140216	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	351	1	6
2024	OF	OF	140216	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	451	1	6
2024	OF	OF	140216	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	551	1	6
2024	OF	OF	140216	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	651	1	6
2024	OF	OF	140216	7090671001	TAPA BASE 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	568	534,5	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	19	807	1	6
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	207	1	3
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	208	1	5
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	226	1	5
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	227	1	1
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	307	1	3
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	308	1	5
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	326	1	5
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	327	1	1
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	407	1	4
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	408	1	5
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	426	1	5
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	427	1	1
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	507	1	4
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	508	1	5
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	526	1	5
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	527	1	1
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	607	1	4
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	608	1	5
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	626	1	5
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	627	1	1
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	707	1	4
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	708	1	5
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	726	1	5
2024	OF	OF	140120	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	727	1	1
2024	OF	OF	140216	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	10	1107	1	2
2024	OF	OF	140216	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	12	118	1	4
2024	OF	OF	140216	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	1	150	1	4
2024	OF	OF	140216	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	251	1	4
2024	OF	OF	140216	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	351	1	4
2024	OF	OF	140216	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	451	1	4
2024	OF	OF	140216	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	551	1	4
2024	OF	OF	140216	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	651	1	4
2024	OF	OF	140216	7090671003	PUERTA 600	0	C709	CONSTRUCCIONES RUESMA, S.A.	795,5	595,5	19	01B19C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	19	807	1	4
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	207	1	6
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	208	1	4
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	226	1	8
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	227	1	1
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	307	1	6
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	308	1	4
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	326	1	8
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	327	1	1
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	407	1	7
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	408	1	4
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	426	1	8
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	427	1	1
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	507	1	7
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	508	1	4
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	526	1	8
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	527	1	1
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	607	1	7
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	608	1	4
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	626	1	8
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	627	1	1
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	707	1	7
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	708	1	4
